domain,records,support_fraction_outside_any_synthetic_1_99pct_bound,support_mean_outside_feature_count,support_median_robust_feature_distance,support_q95_robust_feature_distance,risk_any_event_auroc,risk_spearman_with_false_alarm_count,risk_multihead_spearman,domain_gate
IPIX,188416,0.4359130859375,0.4976859714673913,0.8008470638316634,0.9386115283509041,0.5965013677030264,0.10657574548676281,0.7655601493145722,ACCEPT
St_Andrews_24GHz,13193,0.8259683165314939,1.7759417873114531,1.7272259829103491,3.0105122020388664,0.3500298271831648,-0.24796210563991422,0.07646811411791093,ABSTAIN
St_Andrews_94GHz,76960,0.9061590436590437,2.039423076923077,2.1588565185197366,3.21492349539805,0.1803293711238031,-0.49078455515514835,0.3871887841967545,ABSTAIN
IPIX_269_high_sea,512,0.33984375,0.3828125,0.800658576422598,0.8850342749470309,0.47523613963039013,-0.015133649148216764,0.5832306043361829,ACCEPT
IPIX_287_low_sea,512,0.26171875,0.32421875,0.8410543967941837,0.9556167043365381,0.7982751540041069,0.22189092914539843,0.08617353529371373,ACCEPT
