family,feature_count,dev_cv_macro_pfa,dev_cv_macro_factor2,dev_cv_macro_pd,ret_macro_pfa,ret_macro_factor2,ret_macro_pd
no_polarization,6,0.011693448153409091,0.4,0.392333984375,0.009918685553451179,0.2222222222222222,0.2819281684027778
background_core,6,0.011693448153409091,0.4,0.392333984375,0.009918685553451179,0.2222222222222222,0.2819281684027778
all,10,0.011782226562500001,0.4,0.392529296875,0.009998010706018518,0.2222222222222222,0.2815483940972222
no_uncertainty,9,0.011782226562500001,0.4,0.392529296875,0.009998010706018518,0.2222222222222222,0.2815483940972222
no_series_shift,9,0.011782226562500001,0.4,0.392529296875,0.009998010706018518,0.2222222222222222,0.2815483940972222
log_scale_only,1,0.01266290838068182,0.4,0.390673828125,0.010234588725799663,0.1111111111111111,0.2798122829861111
no_anchor,7,0.012762340198863636,0.4,0.39072265625,0.010263167701318743,0.1111111111111111,0.2801378038194444
