file_id,method,events,trials,pfa,absolute_log10_pfa_error,series_factor2_violation_rate
19,bcdrcfar_feature,186,45056,0.004128196022727273,0.38308343586762283,0.8409090909090909
19,bcdrcfar_scalar,156,45056,0.0034623579545454545,0.4592479301298619,0.8409090909090909
19,ca_cfar,127,45056,0.0028187144886363635,0.5482520872423553,0.9318181818181818
19,go_cfar,126,45056,0.0027965198863636365,0.5516717465004926,0.9318181818181818
19,os_cfar,119,45056,0.0026411576704545455,0.5763943667281728,0.8863636363636364
19,trimmed_mean_cfar,128,45056,0.002840909090909091,0.5448591443450158,0.8636363636363636
26,bcdrcfar_feature,652,45056,0.014470880681818182,0.16081824399798936,0.9772727272727273
26,bcdrcfar_scalar,560,45056,0.012428977272727272,0.09481334491866267,0.9772727272727273
26,ca_cfar,1047,45056,0.023237748579545456,0.3663917596260037,0.5681818181818182
26,go_cfar,850,45056,0.01886541193181818,0.27591204593625857,0.8636363636363636
26,os_cfar,1266,45056,0.028098366477272728,0.44884292211423754,0.75
26,trimmed_mean_cfar,1200,45056,0.026633522727272728,0.4255998923807168,0.6590909090909091
30,bcdrcfar_feature,570,45056,0.012650923295454546,0.10249337674190415,0.9318181818181818
30,bcdrcfar_scalar,473,45056,0.010498046875,0.021557711326962974,0.8863636363636364
30,ca_cfar,861,45056,0.01910955255681818,0.28149300977171804,0.6818181818181818
30,go_cfar,789,45056,0.01751154119318182,0.24358986233198374,0.8409090909090909
30,os_cfar,770,45056,0.01708984375,0.2330103710421089,0.5909090909090909
30,trimmed_mean_cfar,863,45056,0.019153941761363636,0.28250006989114834,0.5227272727272727
31,bcdrcfar_feature,619,40960,0.0151123046875,0.17967075998111107,0.85
31,bcdrcfar_scalar,546,40960,0.013330078125,0.12521961555475034,0.85
31,ca_cfar,656,40960,0.016015625,0.20486417969452692,0.7
31,go_cfar,588,40960,0.01435546875,0.15737591644848226,0.825
31,os_cfar,948,40960,0.02314453125,0.36466678449371015,0.675
31,trimmed_mean_cfar,959,40960,0.0234130859375,0.36967442834051917,0.55
40,bcdrcfar_feature,463,40960,0.0113037109375,0.053679187749544645,0.85
40,bcdrcfar_scalar,389,40960,0.0094970703125,0.021863088722387975,0.8
40,ca_cfar,593,40960,0.0144775390625,0.16105017255963877,0.575
40,go_cfar,457,40960,0.0111572265625,0.0480205476714959,0.85
40,os_cfar,841,40960,0.0205322265625,0.31268356958087146,0.5
40,trimmed_mean_cfar,773,40960,0.0188720703125,0.27608976730441515,0.6
280,bcdrcfar_feature,621,40960,0.0151611328125,0.18107058224669237,0.925
280,bcdrcfar_scalar,521,40960,0.0127197265625,0.10488376203157848,0.9
280,ca_cfar,744,40960,0.0181640625,0.25949415135722376,0.7
280,go_cfar,652,40960,0.01591796875,0.2022099652793474,0.95
280,os_cfar,653,40960,0.0159423828125,0.2028750411855919,0.575
280,trimmed_mean_cfar,770,40960,0.018798828125,0.27440209232346696,0.575
283,bcdrcfar_feature,240,36864,0.006510416666666667,0.1854991575292667,0.8888888888888888
283,bcdrcfar_scalar,187,36864,0.005072699652777778,0.2936129661753797,0.8888888888888888
283,ca_cfar,112,36864,0.0030381944444444445,0.515461715791736,0.8888888888888888
283,go_cfar,138,36864,0.0037434895833333335,0.42516446483864995,0.8055555555555556
283,os_cfar,79,36864,0.002143012152777778,0.666247109582647,0.7777777777777778
283,trimmed_mean_cfar,134,36864,0.003634982638888889,0.4378919539006905,0.7777777777777778
310,bcdrcfar_feature,199,40960,0.0048583984375,0.31242765070820416,0.625
310,bcdrcfar_scalar,151,40960,0.0036865234375,0.4319579178926474,0.65
310,ca_cfar,114,40960,0.002783203125,0.5535650640550643,0.75
310,go_cfar,138,40960,0.003369140625,0.4709207773305038,0.7
310,os_cfar,21,40960,0.0005126953125,1.2799320908153657,1.0
310,trimmed_mean_cfar,64,40960,0.0015625,0.8028108360957035,0.85
311,bcdrcfar_feature,237,40960,0.0057861328125,0.23670693677008584,0.725
311,bcdrcfar_scalar,176,40960,0.004296875,0.3656258410071298,0.675
311,ca_cfar,198,40960,0.004833984375,0.3146100396318373,0.8
311,go_cfar,198,40960,0.004833984375,0.3146100396318373,0.8
311,os_cfar,154,40960,0.003759765625,0.42344206697011777,0.75
311,trimmed_mean_cfar,241,40960,0.0058837890625,0.2294534156434402,0.7
